title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,#_of_nominations,#_of_wins
10,122,6.1,17623,82,51,68,4,1,2,5.8,3,2,1,2,0
12,159,7.6,14601,42,71,72,12,5,0,7.4,17,1,3,1,0
12 Angry Men,96,9,759612,1900,150,96,10,0,0,9,484,9,22,3,0
12 Monkeys,129,8,606901,722,197,74,16,4,0,8.7,453,30,12,2,0
127 Hours,94,7.6,369917,533,453,82,37,1,0,8.1,621,65,25,6,0
1941,118,5.8,33318,273,74,34,1,3,3,6,8,7,3,3,0
2001: A Space Odyssey,149,8.3,648826,2400,285,84,20,3,2,8.2,1043,75,148,4,1
21 Grams,124,7.7,234055,594,178,70,31,5,5,7.7,187,30,11,2,0
3:10 to Yuma,122,7.7,305208,680,304,76,35,2,0,7.3,362,68,49,2,0
4 Little Girls,102,7.8,3268,39,16,88,15,1,0,7.6,9,1,2,1,0
42nd Street,89,7.4,11756,129,71,83,8,1,0,0,1,0,0,2,0
8 Mile,110,7.2,278433,657,112,77,34,4,0,8.6,542,39,23,1,1
A Better Life,98,7.2,15872,93,90,64,22,7,1,7.3,28,11,1,1,0
A Bug's Life,95,7.2,285340,410,124,77,18,5,0,7.7,348,63,17,1,0
A Cat in Paris,70,6.9,11195,39,94,63,12,6,2,7,17,6,1,1,0
A Chorus Line,113,6.2,10307,105,30,46,4,5,4,6.8,7,4,2,3,0
A Civil Action,115,6.6,28738,193,62,68,16,10,0,7.8,47,12,7,2,0
A Clockwork Orange,136,8.3,806722,1600,200,77,19,1,2,7.2,767,54,218,4,0
A Dry White Season,106,7,5602,43,24,68,12,7,0,6.6,4,0,1,1,0
A Few Good Men,138,7.7,255157,457,90,62,12,6,3,7.8,158,19,8,4,0
A Fish Called Wanda,108,7.5,140361,261,112,80,14,2,1,8.4,131,11,7,3,1
A Foreign Affair,116,7.3,7553,67,52,75,6,1,0,0,0,1,0,2,0
A Hard Day's Night,87,7.6,44595,270,103,96,24,0,0,8.5,74,5,2,2,0
A History of Violence,96,7.4,234864,1200,447,81,33,4,0,7.4,633,95,152,2,0
A Little Princess,97,7.6,34163,131,32,83,17,2,0,7.5,36,13,3,2,0
A Little Romance,110,7.4,5812,64,27,52,5,4,1,0,0,0,0,2,1
A Man for All Seasons,120,7.7,34138,204,81,72,7,4,0,7.1,8,2,1,8,6
A Mighty Wind,91,7.2,27787,276,85,81,36,4,0,7.2,29,9,4,1,0
A Patch of Blue,105,8,8499,103,27,73,4,1,0,0,2,0,0,5,1
A Place in the Sun,122,7.8,22290,185,81,76,8,3,0,8,9,0,0,10,6
A Prophet,155,7.8,97722,172,264,90,31,0,0,8.5,198,14,4,1,0
A Room with a View,117,7.2,43068,119,61,83,18,2,1,7.3,37,3,6,8,3
A Royal Affair,137,7.5,47065,95,230,73,22,5,0,7.7,53,9,1,1,0
A Separation,123,8.3,240399,420,373,95,41,0,0,8.8,674,33,31,2,1
A Serious Man,106,7,140884,419,316,84,32,4,2,6.7,204,63,62,2,0
A Simple Plan,121,7.5,68747,463,110,82,24,3,1,7.5,64,6,6,2,0
A Single Man,99,7.5,111204,298,297,77,32,2,1,8.3,199,25,7,1,0
A Soldier's Story,101,7.2,10030,64,35,66,9,1,0,0,0,1,0,3,0
A Star Is Born,134.6666667,6.966666667,12967,121.6666667,61.33333333,75,5.333333333,2.333333333,0,6.666666667,10,6.666666667,1.666666667,75,9
A Streetcar Named Desire,122,8,106395,312,93,97,19,1,0,8.4,55,4,1,12,4
A Tale of Two Cities,128,7.8,5687,76,20,87,9,0,0,0,1,0,0,2,0
A Very Long Engagement,133,7.6,73391,255,187,76,31,8,0,7.8,47,8,3,2,0
About Schmidt,125,7.2,127851,657,197,85,34,6,0,7.6,108,21,13,2,0
About a Boy,101,7.1,182124,442,153,75,31,5,2,7.4,82,21,2,1,0
Absence of Malice,116,6.9,13249,130,28,64,8,4,0,8,3,2,0,3,0
Across the Universe,133,7.3,109560,569,168,56,18,7,4,7.3,188,38,45,1,0
Adam's Rib,101,7.5,21038,124,46,87,10,0,0,8,5,0,0,1,0
Affliction,114,6.9,17039,203,66,79,29,5,1,8.2,21,2,1,2,1
After the Wedding,120,7.7,34318,122,134,78,28,1,0,8,49,2,4,1,0
Afterglow,119,6,3511,49,38,68,15,7,0,5,1,1,2,1,0
Against All Odds,128,5.9,12186,105,39,42,3,3,4,8.4,20,6,1,1,0
Agnes of God,98,6.6,7443,56,29,52,8,4,2,0,1,1,0,3,0
Air Force One,124,6.5,192461,475,122,61,15,6,4,6.6,79,43,17,2,0
Airport,137,6.6,18965,204,83,42,0,5,0,7.7,7,2,0,10,1
Airport '77,114,5.7,10609,97,43,36,0,5,2,0,2,1,0,2,0
Ajami,124,7.3,6221,36,99,82,22,0,0,8.1,22,1,2,1,0
