title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
The Gold Rush,95 min,8.2,109318,215,125,,,,,,,,
Chang: A Drama of the Wilderness,69 min,6.9,982,20,21,,,,,,,,
7th Heaven,110 min,7.6,3583,35,35,,,,,,,,
Wings,144 min,7.6,12733,109,95,,,,,,,,
The Way of All Flesh,94 min,6.9,182,5,6,,,,,,,,
The Magic Flame,100 min,5.0,49,3,,,,,,,,,
The Patent Leather Kid,150 min,6.1,542,6,3,,,,,,,,
Underworld,80 min,7.6,2999,38,53,,,,,,,,
Sunrise,94 min,8.1,50498,278,123,,,,,,,,
Two Arabian Knights,92 min,6.7,1010,28,6,,,,,,,,
The Jazz Singer,88 min,6.4,9888,113,66,66,5,2,0,7.0,3,1,0
The Devil Dancer,73 min,5.3,53,,,,,,,,,,
Sorrell and Son,100 min,6.0,71,2,2,,,,,,,,
The Private Life of Helen of Troy,87 min,5.9,80,2,,,,,,,,,
The Dove,90 min,6.7,81,2,,,,,,,,,
Sadie Thompson,97 min,7.3,2694,25,18,,,,,,,,
The Last Command,88 min,8.0,3871,48,47,,,,,,,,
The Noose,65 min,6.9,75,,,,,,,,,,
Glorious Betsy,80 min,6.1,105,3,4,,,,,,,,
The Crowd,98 min,8.1,8312,73,48,,,,,,,,
Speedy,85 min,7.6,3697,37,41,,,,,,,,
Skyscraper,68 min,6.1,112,2,,,,,,,,,
Street Angel,102 min,7.3,2346,33,23,,,,,,,,
Tempest,102 min,6.8,444,14,7,,,,,,,,
A Ship Comes In,70 min,5.6,177,3,,,,,,,,,
The Racket,84 min,6.7,1302,28,15,,,,,,,,
White Shadows in the South Seas,88 min,6.9,849,19,7,,,,,,,,
The Patriot,113 min,6.9,849,3,5,,,,,,,,
The Cop,77 min,6.5,41,,,,,,,,,,
Our Dancing Daughters,85 min,6.8,1795,31,12,,,,,,,,
The Barker,80 min,7.1,108,4,4,,,,,,,,
4 Devils,100 min,7.1,227,4,6,,,,,,,,
Sal of Singapore,70 min,6.2,42,,,,,,,,,,
The Awakening,90 min,6.1,69,2,,,,,,,,,
A Woman of Affairs,98 min,7.2,1515,19,9,,,,,,,,
In Old Arizona,95 min,5.6,1091,31,29,,,,,,,,
The Divine Lady,99 min,6.2,786,16,8,,,,,,,,
The Broadway Melody,100 min,5.6,7151,89,40,,,,,,,,
Weary River,86 min,6.1,486,18,5,,,,,,,,
The Leatherneck,65 min,6.2,109,2,2,,,,,,,,
The Letter,65 min,6.7,705,31,20,,,,,,,,
The Bridge of San Luis Rey,86 min,7.2,83,,2,,,,,,,,
Coquette,76 min,5.6,2178,41,14,,,,,,,,
Alibi,91 min,5.7,798,20,14,,,,,,,,
Bulldog Drummond,90 min,6.4,1038,29,19,,,,,,,,
The Valiant,66 min,6.0,432,15,5,,,,,,,,
The Hollywood Revue of 1929,130 min,5.9,2039,47,12,,,,,,,,
Thunderbolt,85 min,6.5,685,10,20,,,,,,,,
The Last of Mrs. Cheyney,94 min,6.0,517,15,4,,,,,,,,
Wonder of Women,95 min,5.9,71,2,3,,,,,,,,
Drag,85 min,6.6,57,2,3,,,,,,,,
Madame X,95 min,5.6,497,19,,,,,,,,,
Hallelujah,109 min,6.7,1827,39,28,,,,,,,,
Disraeli,90 min,6.2,1202,26,18,,,,,,,,
Condemned!,86 min,6.4,429,16,3,,,,,,,,
The Trespasser,90 min,6.5,1345,15,4,,,,,,,,
The Love Parade,107 min,7.0,2315,31,33,,,,,,,,
Dynamite,129 min,7.0,433,15,6,,,,,,,,
Sally,103 min,6.1,344,16,3,,,,,,,,
Their Own Desire,65 min,5.8,687,20,5,,,,,,,,
The Rogue Song,104 min,5.7,178,6,4,,,,,,,,
Anna Christie,89 min,6.6,3151,48,28,,,,,,,,
Street of Chance,75 min,6.6,265,9,7,,,,,,,,
The Green Goddess,73 min,5.4,399,11,7,,,,,,,,
The Vagabond King,104 min,5.5,181,10,2,,,,,,,,
The Case of Sergeant Grischa,91 min,7.0,45,,,,,,,,,,
Sarah and Son,86 min,5.5,258,7,4,,,,,,,,
The Divorcee,84 min,6.7,3132,52,37,,,,,,,,
King of Jazz,99 min,6.7,1348,44,30,,,,,,,,
All Quiet on the Western Front,152 min,8.1,60668,265,96,91,16,0,0,8.6,26,3,0
The Big Pond,72 min,5.7,273,11,8,,,,,,,,
The Devil's Holiday,80 min,6.1,193,8,5,,,,,,,,
The Song of the Flame,96 min,4.9,44,,,,,,,,,,
Hell's Angels,127 min,7.3,5367,76,42,,,,,,,,
The Big House,87 min,7.1,2195,33,25,74,6,0,0,tbd,0,0,0
With Byrd at the South Pole,82 min,6.9,341,6,6,,,,,,,,
Holiday,91 min,6.4,521,10,6,,,,,,,,
The Dawn Patrol,108 min,7.2,1816,24,22,,,,,,,,
Raffles,72 min,6.4,935,25,9,,,,,,,,
Romance,76 min,5.8,886,17,7,,,,,,,,
Laughter,85 min,6.4,345,11,10,,,,,,,,
Whoopee!,93 min,6.5,1033,27,9,,,,,,,,
The Doorway to Hell,78 min,6.5,1113,31,14,,,,,,,,
Morocco,92 min,7.0,6584,68,48,,,,,,,,
Min and Bill,69 min,6.8,1731,22,11,,,,,,,,
Just Imagine,113 min,5.4,753,43,20,,,,,,,,
The Royal Family of Broadway,82 min,6.3,360,8,6,,,,,,,,
The Right to Love,79 min,5.8,42,,,,,,,,,,
The Criminal Code,97 min,7.0,1140,28,21,,,,,,,,
Little Caesar,79 min,7.2,13160,115,64,,,,,,,,
Cimarron,123 min,5.9,6118,82,41,70,4,2,0,tbd,1,0,0
Trader Horn,122 min,6.3,978,30,14,,,,,,,,
East Lynne,102 min,5.9,217,7,6,,,,,,,,
Tabu: A Story of the South Seas,86 min,7.4,5759,34,50,,,,,,,,
The Front Page,101 min,6.7,2880,46,37,76,7,1,0,tbd,0,0,0
Skippy,85 min,6.3,801,8,14,,,,,,,,
The Public Enemy,83 min,7.6,20783,155,71,,,,,,,,
Svengali,81 min,6.8,2017,52,30,,,,,,,,
The Smiling Lieutenant,93 min,7.2,3747,40,27,,,,,,,,
A Free Soul,93 min,6.6,2583,57,22,,,,,,,,
