title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,year_film,year_ceremony,ceremony,category,name,film,winner
The Jazz Singer,88,6.4,9888,113,66,66,5,2,0,7,3,1,0,1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,FALSE
The Jazz Singer,88,6.4,9888,113,66,66,5,2,0,7,3,1,0,1952,1953,25,MUSIC (Scoring of a Musical Picture),"Ray Heindorf, Max Steiner",The Jazz Singer,FALSE
The Patriot,165,7.2,269439,1200,172,63,23,11,1,6.7,113,35,23,1928,1929,2,ACTOR,Lewis Stone,The Patriot,FALSE
The Patriot,165,7.2,269439,1200,172,63,23,11,1,6.7,113,35,23,1928,1929,2,ART DIRECTION,Hans Dreier,The Patriot,FALSE
The Patriot,165,7.2,269439,1200,172,63,23,11,1,6.7,113,35,23,1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,FALSE
The Patriot,165,7.2,269439,1200,172,63,23,11,1,6.7,113,35,23,1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,FALSE
The Patriot,165,7.2,269439,1200,172,63,23,11,1,6.7,113,35,23,1928,1929,2,WRITING,Hans Kraly,The Patriot,TRUE
The Patriot,165,7.2,269439,1200,172,63,23,11,1,6.7,113,35,23,2000,2001,73,CINEMATOGRAPHY,Caleb Deschanel,The Patriot,FALSE
The Patriot,165,7.2,269439,1200,172,63,23,11,1,6.7,113,35,23,2000,2001,73,MUSIC (Original Score),John Williams,The Patriot,FALSE
The Patriot,165,7.2,269439,1200,172,63,23,11,1,6.7,113,35,23,2000,2001,73,SOUND,"Kevin O'Connell, Greg P. Russell, Lee Orloff",The Patriot,FALSE
All Quiet on the Western Front,152,8.1,60668,265,96,91,16,0,0,8.6,26,3,0,1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,FALSE
All Quiet on the Western Front,152,8.1,60668,265,96,91,16,0,0,8.6,26,3,0,1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,TRUE
All Quiet on the Western Front,152,8.1,60668,265,96,91,16,0,0,8.6,26,3,0,1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,TRUE
All Quiet on the Western Front,152,8.1,60668,265,96,91,16,0,0,8.6,26,3,0,1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,FALSE
The Big House,87,7.1,2195,33,25,74,6,0,0,0,0,0,0,1929,1930,3,ACTOR,Wallace Beery,The Big House,FALSE
The Big House,87,7.1,2195,33,25,74,6,0,0,0,0,0,0,1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,FALSE
The Big House,87,7.1,2195,33,25,74,6,0,0,0,0,0,0,1929,1930,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,TRUE
The Big House,87,7.1,2195,33,25,74,6,0,0,0,0,0,0,1929,1930,3,WRITING,Frances Marion,The Big House,TRUE
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,1930,1931,4,ACTOR,Richard Dix,Cimarron,FALSE
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,1930,1931,4,ACTRESS,Irene Dunne,Cimarron,FALSE
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,1930,1931,4,ART DIRECTION,Max Rée,Cimarron,TRUE
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,1930,1931,4,CINEMATOGRAPHY,Edward Cronjager,Cimarron,FALSE
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,FALSE
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,TRUE
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,1930,1931,4,WRITING (Adaptation),Howard Estabrook,Cimarron,TRUE
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,1960,1961,33,ART DIRECTION (Color),"Art Direction:  George W. Davis, Addison Hehr;  Set Decoration:  Henry Grace, Hugh Hunt, Otto Siegel",Cimarron,FALSE
Cimarron,123,5.9,6118,82,41,70,4,2,0,0,1,0,0,1960,1961,33,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Cimarron,FALSE
The Front Page,101,6.7,2880,46,37,76,7,1,0,0,0,0,0,1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,FALSE
The Front Page,101,6.7,2880,46,37,76,7,1,0,0,0,0,0,1930,1931,4,DIRECTING,Lewis Milestone,The Front Page,FALSE
