title,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
7th Heaven,35,35,,,,,,,,
Wings,108,95,,,,,,,,
The Way of All Flesh,5,6,,,,,,,,
Underworld,37,53,,,,,,,,
Sunrise,278,123,,,,,,,,
Two Arabian Knights,28,6,,,,,,,,
The Dove,2,,,,,,,,,
The Last Command,48,47,,,,,,,,
Street Angel,33,23,,,,,,,,
Tempest,14,7,,,,,,,,
White Shadows in the South Seas,19,7,,,,,,,,
The Patriot,3,5,,,,,,,,
In Old Arizona,31,29,,,,,,,,
The Divine Lady,16,8,,,,,,,,
The Broadway Melody,89,40,,,,,,,,
The Bridge of San Luis Rey,,2,,,,,,,,
Coquette,41,14,,,,,,,,
Disraeli,26,18,,,,,,,,
The Divorcee,51,37,,,,,,,,
King of Jazz,44,30,,,,,,,,
All Quiet on the Western Front,264,96,91,16,0,0,8.6,26,3,0
The Big House,33,25,74,6,0,0,tbd,0,0,0
With Byrd at the South Pole,6,6,,,,,,,,
The Dawn Patrol,24,22,,,,,,,,
Min and Bill,22,11,,,,,,,,
Cimarron,81,41,70,4,2,0,tbd,1,0,0
Tabu: A Story of the South Seas,34,50,,,,,,,,
Skippy,8,14,,,,,,,,
A Free Soul,57,22,,,,,,,,
Bad Girl,23,16,,,,,,,,
Transatlantic,9,5,,,,,,,,
The Sin of Madelon Claudet,26,9,,,,,,,,
Wrestling Swordfish,,,,,,,,,,
The Champ,36,24,,,,,,,,
Dr. Jekyll and Mr. Hyde,139,76,,,,,,,,
Shanghai Express,73,56,83,15,0,0,tbd,1,0,0
Grand Hotel,144,89,,,,,,,,
The Music Box,79,11,,,,,,,,
Flowers and Trees,19,8,,,,,,,,
One Way Passage,61,22,,,,,,,,
A Farewell to Arms,75,46,,,,,,,,
Cavalcade,53,50,,,,,,,,
Krakatoa,,,,,,,,,,
Three Little Pigs,32,12,,,,,,,,
So This Is Harris,2,,,,,,,,,
Morning Glory,51,19,,,,,,,,
The Private Life of Henry VIII,52,33,,,,,,,,
Eskimo,17,10,,,,,,,,
Little Women,65,32,92,7,0,0,5.3,4,0,3
City of Wax,,,,,,,,,,
It Happened One Night,334,126,87,16,0,0,8.3,47,3,0
Viva Villa!,24,17,,,,,,,,
Manhattan Melodrama,52,25,,,,,,,,
Wings Over Everest,5,,,,,,,,,
La Cucaracha,10,4,,,,,,,,
One Night of Love,14,10,,,,,,,,
Cleopatra,61,36,,,,,,,,
The Gay Divorcee,73,45,80,11,1,0,tbd,1,1,0
The Merry Widow,34,19,,,,,,,,
The Private Life of the Gannets,,,,,,,,,,
The Tortoise and the Hare,18,11,,,,,,,,
The Lives of a Bengal Lancer,36,21,,,,,,,,
Folies Bergère de Paris,12,,,,,,,,,
Naughty Marietta,33,9,,,,,,,,
Gold Diggers of 1935,50,26,,,,,,,,
The Scoundrel,21,7,,,,,,,,
The Informer,62,40,65,5,2,1,tbd,0,0,0
Broadway Melody of 1936,33,13,,,,,,,,
The Dark Angel,20,6,,,,,,,,
How to Sleep,19,2,,,,,,,,
A Midsummer Night's Dream,66,34,,,,,,,,
Three Orphan Kittens,8,2,,,,,,,,
Mutiny on the Bounty,128,70,87,11,1,0,8.2,5,0,0
Dangerous,43,18,,,,,,,,
The Story of Louis Pasteur,43,11,,,,,,,,
The Great Ziegfeld,90,49,,,,,,,,
Mr. Deeds Goes to Town,142,50,,,,,,,,
San Francisco,93,37,,,,,,,,
Anthony Adverse,38,14,,,,,,,,
Bored of Education,5,,,,,,,,,
Swing Time,111,67,91,16,0,0,tbd,1,2,0
Dodsworth,99,36,,,,,,,,
The Public Pays,7,,,,,,,,,
The Charge of the Light Brigade,65,31,,,,,,,,
The Country Cousin,12,,,,,,,,,
Come and Get It,51,24,,,,,,,,
Give Me Liberty,8,,,,,,,,,
Torture Money,7,,,,,,,,,
The Good Earth,70,23,,,,,,,,
Lost Horizon,139,45,,,,,,,,
Waikiki Wedding,14,3,,,,,,,,
Penny Wisdom,8,,,,,,,,,
A Star Is Born,78,55,77,4,1,0,7.4,7,2,0
Captains Courageous,104,36,,,,,,,,
The Life of Emile Zola,64,46,,,,,,,,
One Hundred Men and a Girl,26,11,,,,,,,,
The Awful Truth,135,64,87,9,1,0,8.0,3,1,0
The Hurricane,53,28,,,,,,,,
The Old Mill,30,4,,,,,,,,
A Damsel in Distress,41,16,,,,,,,,
In Old Chicago,48,17,,,,,,,,
The Big Broadcast of 1938,32,12,,,,,,,,
Jezebel,117,50,,,,,,,,
That Mothers Might Live,3,,,,,,,,,
The Adventures of Robin Hood,302,113,97,5,0,0,7.9,55,9,3
Alexander's Ragtime Band,35,13,,,,,,,,
Pygmalion,94,37,,,,,,,,
You Can't Take It with You,174,51,,,,,,,,
Boys Town,60,21,,,,,,,,
The Great Waltz,50,10,,,,,,,,
The Cowboy and the Lady,33,9,,,,,,,,
Ferdinand the Bull,17,7,,,,,,,,
The Declaration of Independence,9,,,,,,,,,
Kentucky,18,5,,,,,,,,
Stagecoach,466,115,93,15,0,0,7.8,13,2,1
Wuthering Heights,155,37,,,,,,,,
Ugly Duckling,16,5,,,,,,,,
Busy Little Bears,,,,,,,,,,
"Goodbye, Mr. Chips",114,38,,,,,,,,
Sons of Liberty,18,,,,,,,,,
The Wizard of Oz,785,159,92,28,2,0,8.5,412,30,22
When Tomorrow Comes,15,5,,,,,,,,
The Rains Came,39,21,,,,,,,,
Mr. Smith Goes to Washington,332,99,73,7,2,0,8.3,29,4,0
Gone with the Wind,961,192,97,17,1,0,8.3,187,19,18
The Grapes of Wrath,379,102,96,15,1,0,8.7,58,3,1
Pinocchio,232,137,99,17,0,0,8.1,143,25,6
Teddy the Rough Rider,7,,,,,,,,,
Rebecca,382,206,86,16,0,0,8.3,32,3,0
The Milky Way,14,4,,,,,,,,
The Great McGinty,43,37,,,,,,,,
Pride and Prejudice,147,29,84,7,2,0,tbd,2,0,0
The Westerner,68,22,78,5,1,0,tbd,0,0,0
Strike Up the Band,30,20,59,4,2,0,tbd,0,0,0
Quicker'n a Wink,7,,,,,,,,,
The Thief of Bagdad,125,66,,,,,,,,
"Arise, My Love",17,11,,,,,,,,
North West Mounted Police,22,14,,,,,,,,
Tin Pan Alley,14,4,,,,,,,,
The Philadelphia Story,259,85,96,13,0,0,8.0,21,4,0
Kitty Foyle,54,25,,,,,,,,
I Wanted Wings,15,4,,,,,,,,
That Hamilton Woman,70,35,,,,,,,,
The Great Lie,57,18,,,,,,,,
Citizen Kane,1.6K,265,100,19,0,0,8.4,637,54,40
Blood and Sand,46,32,,,,,,,,
Blossoms in the Dust,36,14,,,,,,,,
Sergeant York,127,52,,,,,,,,
Here Comes Mr. Jordan,63,52,,,,,,,,
Lady Be Good,37,4,,,,,,,,
Of Pups and Puzzles,5,,,,,,,,,
Lend a Paw,11,,,,,,,,,
49th Parallel,87,50,,,,,,,,
All That Money Can Buy,67,45,,,,,,,,
Dumbo,191,131,96,11,0,0,7.7,86,15,5
How Green Was My Valley,179,95,88,17,0,0,tbd,2,1,0
Suspicion,219,94,83,4,0,0,7.9,17,4,0
Johnny Eager,56,21,,,,,,,,
Churchill's Island,3,,,,,,,,,
Main Street on the March!,3,,,,,,,,,
Woman of the Year,94,33,,,,,,,,
Moscow Strikes Back,3,,,,,,,,,
Reap the Wild Wind,52,25,,,,,,,,
My Gal Sal,13,6,,,,,,,,
This Above All,26,4,,,,,,,,
Why We Fight,21,3,,,,,,,,
Yankee Doodle Dandy,127,48,89,9,1,0,tbd,2,0,0
Mrs. Miniver,120,58,,,,,,,,
Speaking of Animals and Their Families,,,,,,,,,,
The Pride of the Yankees,89,42,,,,,,,,
Holiday Inn,145,40,,,,,,,,
The Battle of Midway,19,10,,,,,,,,
Kokoda Front Line!,2,,,,,,,,,
"Now, Voyager",176,67,70,10,2,0,tbd,0,0,0
Beyond the Line of Duty,10,,,,,,,,,
Casablanca,1.4K,211,100,18,0,0,8.8,377,11,14
The Black Swan,65,29,,,,,,,,
Der Fuehrer's Face,32,9,,,,,,,,
Air Force,67,19,,,,,,,,
The Human Comedy,58,15,,,,,,,,
"Hello Frisco, Hello",26,4,,,,,,,,
Desert Victory,11,,,,,,,,,
Crash Dive,34,11,,,,,,,,
Heavenly Music,11,2,,,,,,,,
This Land Is Mine,54,22,,,,,,,,
The More the Merrier,76,30,,,,,,,,
Mouse at War,14,3,,,,,,,,
For Whom the Bell Tolls,83,26,68,6,4,0,tbd,0,1,0
This Is the Army,39,16,,,,,,,,
Phantom of the Opera,104,53,63,2,5,0,tbd,0,0,0
